#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.997056	-0.04307	0.0634383	0.043157	0.999068	0	-0.0633792	0.0027378	0.997986	19.051	4.08901	549
0.973714	-0.127539	0.188717	0.130003	0.991513	-0.000685576	-0.187028	0.0252014	0.982031	28.0085	7.74322	549.3
0.953587	-0.167756	0.25006	0.174119	0.984719	-0.00337956	-0.245672	0.0467629	0.968224	36.7651	15.8478	550.117
0.907362	-0.201378	0.368974	0.219425	0.975603	-0.00713675	-0.358535	0.0874377	0.929412	45.2161	18.5826	550.058
0.835265	-0.26538	0.481566	0.308864	0.951035	-0.0116228	-0.454902	0.158447	0.876333	53.2606	24.4809	552.442
0.779011	-0.327144	0.534901	0.395398	0.918401	-0.0141528	-0.486624	0.222524	0.844796	70.2528	26.2473	555.411
0.682457	-0.362476	0.634715	0.480708	0.876732	-0.0161783	-0.550611	0.316154	0.772577	77.2023	29.7759	556.359
0.59339	-0.350814	0.724444	0.527821	0.849092	-0.0211617	-0.607696	0.394934	0.689009	84.3271	30.9273	561.766
0.538631	-0.352863	0.765091	0.570845	0.820726	-0.0233581	-0.619688	0.44933	0.643498	89.8518	31.7249	564.103
0.442903	-0.320452	0.837345	0.618601	0.785252	-0.0266846	-0.648976	0.529801	0.546023	99.9641	31.4897	571.31
0.372398	-0.326487	0.86875	0.694642	0.718825	-0.0276215	-0.615461	0.613756	0.494481	103.802	30.0373	579.94
0.266317	-0.281976	0.921718	0.770145	0.637273	-0.0275651	-0.579614	0.717198	0.386879	106.724	27.3636	583.076
0.204279	-0.262119	0.943167	0.836579	0.54707	-0.029155	-0.508336	0.794989	0.331038	109.076	25.6484	593.24
0.126004	-0.17866	0.975809	0.867778	0.496501	-0.0211503	-0.480712	0.849451	0.217598	110.337	20.914	603.866
0.0796753	-0.139783	0.986971	0.915864	0.401123	-0.0171249	-0.393503	0.905296	0.159981	110.641	15.1366	607.561
0.0466083	-0.0918383	0.994683	0.941736	0.336098	-0.0130957	-0.333108	0.937339	0.102152	108.727	8.35227	611.651
0.0184316	-0.0411775	0.998982	0.960376	0.278638	-0.00623396	-0.278097	0.959513	0.0446816	104.725	4.81245	620.288
-0.00397029	0.0118745	0.999922	0.985201	0.171395	0.00187646	-0.171359	0.985131	-0.0123792	101.829	-3.85335	629.432
-0.015474	0.0679794	0.997567	0.998736	0.048776	0.0121683	-0.0478301	0.996494	-0.0686482	97.6672	-14.2147	634.36
-0.0156577	0.125314	0.991994	0.997746	-0.062781	0.0236793	0.0652457	0.990129	-0.124049	87.3791	-25.4429	639.24
-0.00572649	0.237162	0.971453	0.981435	-0.184908	0.0509271	0.191708	0.95371	-0.2317	81.3158	-31.4515	649.338
0.0090432	0.344257	0.938832	0.96748	-0.240354	0.0788153	0.252784	0.907589	-0.335236	75.0777	-37.8129	659.747
0.0304591	0.394853	0.918239	0.949777	-0.297676	0.0964989	0.311441	0.869183	-0.384089	68.1677	-50.1566	676.377
0.0631717	0.490709	0.869031	0.929206	-0.346622	0.128178	0.364123	0.799411	-0.477866	59.8363	-57.0888	687.33
0.104698	0.577357	0.809751	0.906255	-0.390707	0.1614	0.409561	0.716943	-0.564139	51.8381	-70.395	704.844
0.187232	0.644465	0.741356	0.849853	-0.484762	0.206773	0.492639	0.59133	-0.638464	33.1471	-84.0582	717.033
0.245381	0.705496	0.664879	0.81282	-0.523494	0.255493	0.52831	0.477734	-0.701897	14.7599	-97.992	729.453
0.30708	0.75343	0.581416	0.785245	-0.545752	0.29248	0.537673	0.366739	-0.759217	5.85612	-104.62	741.162
0.358888	0.76307	0.537516	0.740829	-0.583185	0.333268	0.567778	0.278601	-0.774603	-3.13994	-112.118	747.074
0.464301	0.765106	0.446136	0.671301	-0.632593	0.386238	0.577736	0.120161	-0.807331	-13.1075	-126.324	753.031
0.527735	0.77363	0.350704	0.637293	-0.633588	0.438662	0.561563	-0.00799546	-0.827395	-22.9242	-141.05	760.006
0.627548	0.736538	0.252379	0.573959	-0.656669	0.489241	0.526074	-0.162167	-0.834834	-31.553	-147.759	778.002
0.680509	0.716736	0.152305	0.552027	-0.638165	0.536668	0.481845	-0.281131	-0.829934	-39.8494	-161.806	789.997
0.761816	0.645735	0.0515939	0.503687	-0.640547	0.579654	0.407352	-0.415603	-0.813227	-48.5023	-175.366	795.978
0.795914	0.603449	-0.0486805	0.499085	-0.608492	0.61697	0.342688	-0.515351	-0.78548	-56.546	-181.698	814.795
0.824685	0.557001	-0.0982113	0.476388	-0.590463	0.651466	0.304877	-0.584041	-0.752294	-70.6049	-194.007	826.602
0.84164	0.503426	-0.195458	0.486967	-0.551012	0.677679	0.233462	-0.665544	-0.708906	-83.6777	-205.559	833.342
0.858713	0.451208	-0.242947	0.475846	-0.526092	0.704839	0.190216	-0.72086	-0.666467	-94.9917	-216.274	844.878
0.870771	0.397514	-0.28938	0.473308	-0.518253	0.712315	0.133183	-0.757229	-0.639427	-104.407	-221.512	862.702
0.87933	0.288091	-0.379186	0.475935	-0.504477	0.720408	0.0162521	-0.813945	-0.580715	-111.65	-225.925	879.423
0.887548	0.183984	-0.422384	0.454241	-0.502605	0.735563	-0.07696	-0.844712	-0.529659	-114.298	-234.268	896.444
0.853696	0.127297	-0.504973	0.500304	-0.469647	0.727412	-0.144562	-0.873629	-0.464623	-115.86	-238.271	901.768
0.835438	0.0765473	-0.544228	0.517259	-0.444125	0.731571	-0.185705	-0.892689	-0.410634	-116.774	-241.046	912.617
0.785431	0.0270671	-0.618357	0.570666	-0.418506	0.706536	-0.239662	-0.907811	-0.344154	-115.802	-246.241	928.082
0.72687	-0.0165336	-0.686576	0.625134	-0.398021	0.671406	-0.284373	-0.917227	-0.278974	-114.497	-250.29	932.933
0.693541	-0.0557404	-0.718257	0.65041	-0.380274	0.65754	-0.309786	-0.923193	-0.227481	-111.66	-252.193	942.481
0.624002	-0.0866109	-0.776608	0.693502	-0.396612	0.601459	-0.360105	-0.913891	-0.187422	-107.778	-253.853	951.429
0.576572	-0.149607	-0.803233	0.695997	-0.425006	0.578756	-0.427964	-0.892742	-0.140921	-98.0169	-253.289	964.248
0.522662	-0.202933	-0.828035	0.681231	-0.484557	0.548752	-0.51259	-0.850895	-0.115015	-93.022	-252.479	968.301
0.477574	-0.218358	-0.851024	0.7079	-0.478077	0.519923	-0.520384	-0.850742	-0.0737412	-80.5414	-249.436	971.941
0.417922	-0.254128	-0.872216	0.704827	-0.515059	0.487785	-0.573202	-0.818617	-0.036138	-74.0119	-246.144	978.839
0.356475	-0.279142	-0.891631	0.698428	-0.554266	0.452756	-0.620584	-0.784136	-0.00262076	-58.6679	-240.707	988.877
0.283928	-0.250824	-0.925458	0.712422	-0.590802	0.378692	-0.641747	-0.766838	0.0109474	-49.9181	-234.992	997.688
0.215122	-0.214118	-0.952825	0.74205	-0.598453	0.302018	-0.634889	-0.772015	0.0301462	-40.6854	-228.109	1005.63
0.176755	-0.198305	-0.964071	0.736359	-0.623293	0.263214	-0.653095	-0.756427	0.0358531	-31.0837	-219.382	1007.56
0.108456	-0.155817	-0.981814	0.718538	-0.670227	0.18574	-0.686979	-0.725615	0.0392709	-21.2314	-210.295	1009.85
0.0792027	-0.129806	-0.988371	0.732375	-0.665058	0.146033	-0.67628	-0.735424	0.0423924	-11.25	-199.665	1015.1
0.0360826	-0.0680709	-0.997028	0.74686	-0.661054	0.0721617	-0.664001	-0.747244	0.0269869	7.85756	-188.191	1018.55
0.000989104	-0.00258017	-0.999996	0.690516	-0.723312	0.00254927	-0.723316	-0.690516	0.00106622	16.9293	-176.248	1021.42
-0.0170134	0.0682605	-0.997522	0.657409	-0.750929	-0.0625987	-0.753342	-0.656845	-0.0320992	26.5607	-163.504	1023.92
-0.025843	0.139531	-0.98988	0.639835	-0.758505	-0.123621	-0.768078	-0.636555	-0.0696749	44.4833	-149.996	1024.77
-0.0127773	0.211166	-0.977367	0.606961	-0.775133	-0.175407	-0.794629	-0.595465	-0.118265	53.2849	-135.917	1025.43
0.000317143	0.278981	-0.960297	0.591321	-0.774471	-0.2248	-0.806436	-0.567772	-0.165213	69.727	-121.514	1024.69
0.0387654	0.309212	-0.950203	0.562139	-0.792924	-0.235098	-0.826134	-0.525032	-0.204558	76.9707	-114.164	1023.64
0.0845226	0.332781	-0.939209	0.533718	-0.811083	-0.239352	-0.841428	-0.481042	-0.246166	90.4988	-106.279	1021.59
0.123748	0.385062	-0.914557	0.55872	-0.788704	-0.256473	-0.820072	-0.479243	-0.312742	102.26	-98.2395	1019.32
0.18313	0.393267	-0.901002	0.496542	-0.828006	-0.260483	-0.848475	-0.399683	-0.346906	112.284	-82.614	1016.47
0.245917	0.391312	-0.886792	0.431755	-0.863334	-0.26123	-0.86782	-0.318636	-0.38126	116.266	-67.0127	1015.23
0.327403	0.399327	-0.856356	0.407365	-0.877407	-0.253399	-0.852561	-0.265886	-0.449937	119.526	-52.3639	1012.83
0.412193	0.390178	-0.823321	0.380553	-0.894788	-0.233524	-0.827814	-0.21706	-0.517309	123.685	-45.1992	1008.37
0.477739	0.349418	-0.806023	0.344379	-0.918551	-0.194082	-0.808188	-0.184857	-0.55916	125.208	-30.3566	1002.06
0.518555	0.330956	-0.788396	0.326615	-0.928802	-0.17507	-0.790204	-0.166718	-0.589731	125.503	-15.9915	998.991
0.596175	0.28125	-0.75198	0.250833	-0.954996	-0.158319	-0.762665	-0.0942354	-0.639892	122.593	-2.21205	995.728
