#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.999955	-0.00930137	-0.00209425	0.00923462	0.99951	-0.0298991	0.00237133	0.0298784	0.999551	-130.949	4.0984	548.686
0.999796	-0.0195301	-0.00523535	0.0193212	0.999115	-0.0373589	0.00596034	0.0372501	0.999288	-121.989	7.77256	548.515
0.99964	-0.025107	-0.00942291	0.0246607	0.998691	-0.044808	0.0105356	0.0445595	0.998951	-113.228	15.9111	548.705
0.999407	-0.0311452	-0.0146563	0.0303406	0.998173	-0.0522433	0.0162567	0.0517676	0.998527	-104.768	18.6974	547.863
0.999133	-0.0376452	-0.0177956	0.0365229	0.99755	-0.0596648	0.0199981	0.0589631	0.99806	-96.7156	24.6402	549.778
0.998354	-0.0515603	-0.0251183	0.0497776	0.996506	-0.0670629	0.0284883	0.0657022	0.997433	-79.6999	26.5001	551.652
0.997364	-0.0663872	-0.0293011	0.0640539	0.995166	-0.0744447	0.0341016	0.0723715	0.996795	-72.7333	30.1032	551.976
0.996489	-0.0742357	-0.0387077	0.0708827	0.994126	-0.0817886	0.0445519	0.0787577	0.995898	-65.5605	31.4025	555.979
0.994652	-0.0908391	-0.0491521	0.0862202	0.992284	-0.0890943	0.0568661	0.0843799	0.99481	-59.9669	32.3826	556.759
0.993184	-0.0995447	-0.0606306	0.0934389	0.990952	-0.0963536	0.0696735	0.0900316	0.993499	-49.7599	32.3676	562.258
0.990769	-0.117915	-0.066886	0.110644	0.988445	-0.103603	0.0783294	0.0952461	0.992367	-45.8618	31.0791	569.961
0.987293	-0.137057	-0.0804243	0.1278	0.985597	-0.110753	0.0944454	0.0990676	0.990589	-42.7901	28.704	571.087
0.983025	-0.156971	-0.0949807	0.145474	0.982321	-0.117827	0.111797	0.10201	0.988481	-40.2455	27.3347	579.093
0.978693	-0.177759	-0.102767	0.164593	0.97842	-0.124916	0.122754	0.10534	0.986831	-38.8693	22.8498	588.573
0.973623	-0.199306	-0.111061	0.184325	0.973968	-0.131946	0.134468	0.107995	0.985016	-38.4307	17.3483	591.049
0.966676	-0.221329	-0.12865	0.203441	0.969205	-0.138758	0.155399	0.107961	0.981935	-40.0267	11.0524	592.543
0.962727	-0.232658	-0.13794	0.212636	0.966218	-0.145632	0.167163	0.110873	0.979675	-43.8412	7.85481	599.822
0.958375	-0.244324	-0.147727	0.222021	0.963054	-0.152426	0.179511	0.113283	0.977212	-46.5256	-0.438252	607.538
0.94856	-0.268178	-0.16827	0.242406	0.95708	-0.15886	0.203651	0.109898	0.972856	-50.1939	-10.147	609.449
0.939216	-0.292961	-0.179019	0.264793	0.950007	-0.165441	0.218537	0.107982	0.969836	-60.1978	-20.9274	612.77
0.928733	-0.318215	-0.190249	0.287609	0.942192	-0.171917	0.233958	0.104948	0.966566	-65.9445	-26.4542	621.241
0.914721	-0.342997	-0.21363	0.308825	0.934347	-0.177827	0.260599	0.0966875	0.960593	-71.4595	-31.9798	628.238
0.898982	-0.367756	-0.237879	0.330219	0.925901	-0.183474	0.287726	0.0863881	0.953808	-77.5265	-43.4164	641.338
0.890366	-0.380167	-0.250441	0.340008	0.921136	-0.18948	0.302724	0.0835548	0.949409	-85.3834	-49.7365	650.491
0.881133	-0.392681	-0.26345	0.349902	0.916194	-0.195336	0.318076	0.0799352	0.944689	-92.8629	-62.3931	666.146
0.864604	-0.419272	-0.276896	0.374552	0.90515	-0.20103	0.334919	0.0700993	0.939636	-110.988	-75.3688	676.418
0.842769	-0.443811	-0.304585	0.396783	0.894585	-0.205622	0.363734	0.0524381	0.930026	-128.113	-88.129	684.843
0.83099	-0.455867	-0.318811	0.406718	0.88888	-0.210886	0.379521	0.045578	0.92406	-136.317	-93.9802	694.539
0.805664	-0.479386	-0.347986	0.42925	0.877286	-0.214741	0.408227	0.0236364	0.912574	-143.765	-100.162	696.264
0.792105	-0.490777	-0.362915	0.439193	0.871165	-0.219502	0.423886	0.0144789	0.9056	-152.881	-113.501	700.125
0.772475	-0.498511	-0.393408	0.446119	0.866876	-0.222495	0.451952	-0.00363491	0.892035	-160.829	-126.768	702.749
0.741773	-0.519307	-0.424373	0.469181	0.853979	-0.224922	0.479209	-0.032267	0.877108	-167.376	-131.947	716.341
0.719199	-0.524465	-0.45573	0.475976	0.849728	-0.226737	0.506162	-0.0538478	0.860756	-173.367	-144.393	723.892
0.695223	-0.528313	-0.487392	0.482791	0.845563	-0.227895	0.53252	-0.0768706	0.842919	-179.48	-156.285	725.403
0.666287	-0.550124	-0.503414	0.509811	0.828729	-0.23087	0.544201	-0.10282	0.83263	-186.153	-161.522	742.028
0.628382	-0.563996	-0.535765	0.533531	0.813682	-0.230796	0.566111	-0.140819	0.812212	-197.26	-172.04	749.298
0.5965	-0.582593	-0.552062	0.560538	0.794683	-0.232973	0.574443	-0.170483	0.800594	-208.748	-182.421	753.831
0.576017	-0.58733	-0.56855	0.570627	0.786927	-0.234799	0.585311	-0.189182	0.788429	-218.389	-191.933	763.143
0.554931	-0.59126	-0.585204	0.580834	0.778983	-0.236258	0.595554	-0.208799	0.775705	-226.04	-195.936	778.73
0.511534	-0.596448	-0.618533	0.605083	0.761137	-0.23355	0.610089	-0.254795	0.750248	-229.514	-198.348	790.836
0.480597	-0.586993	-0.651511	0.612293	0.75647	-0.229891	0.627793	-0.288431	0.722969	-228.094	-204.654	803.312
0.457941	-0.58667	-0.667914	0.622873	0.747813	-0.229791	0.634287	-0.310795	0.707875	-227.496	-207.337	806.476
0.434903	-0.585263	-0.684344	0.63361	0.738903	-0.229261	0.639842	-0.333901	0.692179	-226.148	-208.771	815.171
0.41154	-0.582713	-0.700772	0.64451	0.729721	-0.228286	0.644393	-0.357705	0.675873	-222.81	-212.603	828.494
0.364522	-0.574098	-0.733168	0.670299	0.708305	-0.221366	0.646392	-0.410749	0.64301	-216.504	-214.492	828.947
0.331756	-0.552585	-0.764584	0.678792	0.702668	-0.213306	0.655118	-0.448228	0.608204	-208.339	-214.237	834.256
0.285457	-0.535477	-0.794845	0.70529	0.67891	-0.204078	0.648907	-0.502341	0.571466	-198.799	-213.755	839.147
0.253647	-0.50701	-0.823774	0.714629	0.672162	-0.193657	0.651896	-0.539572	0.532816	-183.055	-211.079	848.115
0.222394	-0.475419	-0.851186	0.724501	0.664805	-0.182024	0.652411	-0.576204	0.49229	-171.751	-208.2	848.547
0.191952	-0.440693	-0.876895	0.734919	0.656717	-0.169167	0.650422	-0.611974	0.449931	-152.644	-203.145	848.821
0.162589	-0.402852	-0.900708	0.745885	0.647769	-0.155081	0.645926	-0.64661	0.405802	-139.176	-197.914	852.635
0.143043	-0.384701	-0.91189	0.758722	0.634249	-0.148556	0.635515	-0.670621	0.382606	-120.233	-191.198	861.368
0.106581	-0.344664	-0.932656	0.787686	0.601694	-0.132343	0.606788	-0.720535	0.335616	-104.033	-183.672	867.542
0.0743899	-0.300121	-0.950996	0.816076	0.566406	-0.114913	0.573137	-0.767537	0.287056	-87.0658	-175.095	873.198
0.0600453	-0.276185	-0.959227	0.828622	0.549608	-0.106376	0.556579	-0.78845	0.261854	-73.4792	-165.229	874.255
0.0469251	-0.251077	-0.966829	0.841158	0.531961	-0.0973198	0.53875	-0.808689	0.236158	-59.545	-155.039	875.764
0.0351401	-0.224851	-0.973759	0.853639	0.51342	-0.0877486	0.519678	-0.828156	0.209983	-45.387	-143.347	880.334
0.0188315	-0.198229	-0.979975	0.880518	0.467606	-0.0776668	0.473638	-0.861423	0.18335	-22.0106	-130.855	883.2
